alert_id,attack_class,is_attempted,id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
AL-00011,Benign,0,2607243,172.31.65.70-169.254.169.254-49524-80-6,172.31.65.70,49524,169.254.169.254,80,6,2018-02-16 14:59:43.138968,962,5,5,161,488,161,0,32.2,72.00138887549322,488,0,97.6,218.24023460397947,674636.1746361747,10395.010395010397,106.88888888888889,87.26746880201758,233,0,798,199.5,141.4461028095154,373,58,729,182.25,140.03898266792237,332,0,1,1,0,0,0,0,112,112,5197.505197505197,5197.505197505197,0,488,64.9,157.036761442805,24660.54444444444,2,2,0,2,9,0,1,2,1.0,64.9,32.2,97.6,0,0,0,0,0,0,0,16,0,48,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,962,BENIGN,-1
AL-00012,Brute Force,1,5692268,18.221.219.4-172.31.69.25-43758-21-6,18.221.219.4,43758,172.31.69.25,21,6,2018-02-14 15:16:56.139686,14,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,142857.14285714287,14.0,0.0,14,14,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,71428.57142857143,71428.57142857143,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,14,FTP-BruteForce - Attempted,1
AL-00013,Benign,0,2404988,172.31.66.26-108.161.189.121-55000-443-6,172.31.66.26,55000,108.161.189.121,443,6,2018-02-21 20:11:04.531930,118855,10,11,551,5119,200,0,55.1,84.40175090337614,1460,0,465.3636363636364,649.7729253712057,47705.18699255395,176.6858777501998,5942.750000000001,15008.332183630882,66557,1,118713,13190.333333333334,20762.542402124072,66557,20,107240,10724.0,24407.848919740733,78217,1,4,4,0,0,1,0,212,232,84.13613226199992,92.5497454881999,0,1460,270.00000000000006,508.3216501389648,258390.90000000005,2,2,1,8,20,0,1,1,1.1,270.0,55.1,465.3636363636364,0,0,0,4738,4,1184500000,0,26,0,243,8192,31,4,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,118855,BENIGN,-1
AL-00014,Benign,0,1438850,172.31.66.92-172.217.13.225-52071-443-6,172.31.66.92,52071,172.217.13.225,443,6,2018-02-21 16:35:43.442458,12264,4,1,77,0,46,0,19.25,23.05609102457165,0,0,0.0,0.0,6278.538812785388,407.6973255055447,3066.0,5627.4931067631405,11493,19,12264,4088.0,6450.998604867312,11526,19,0,0.0,0.0,0,0,2,0,0,0,0,0,80,20,326.1578604044357,81.53946510110893,0,46,15.4,21.74396467988301,472.8,2,0,0,2,5,0,0,0,0.25,15.4,19.25,0.0,0,0,0,0,0,0,0,15,0,0,258,180,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,170804002,BENIGN,-1
AL-00015,Benign,0,1515774,95.215.62.54-172.31.64.27-59356-3389-6,95.215.62.54,59356,172.31.64.27,3389,6,2018-02-22 15:17:44.269414,1862622,8,7,1144,1581,677,0,143.0,227.96992282817865,1173,0,225.8571428571429,430.0986044197418,1462.9914174749358,8.053163765917079,133044.42857142858,247066.89441330047,953181,37,1862622,266088.8571428572,401647.92530748807,1165086,37,1701592,283598.6666666667,330477.3554642839,953181,115870,5,5,0,0,1,0,172,152,4.295020675155775,3.758143090761304,0,1173,181.66666666666669,327.2538697068306,107095.09523809524,0,2,1,10,14,0,1,2,0.875,181.66666666666663,143.0,225.8571428571429,0,0,0,0,0,0,0,76,0,105,8192,62856,5,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,1862622,BENIGN,-1
AL-00016,Benign,0,1899914,172.31.64.92-172.31.0.2-60282-53-17,172.31.64.92,60282,172.31.0.2,53,17,2018-02-22 18:51:12.267533,81547,2,2,64,142,32,32,32.0,0.0,71,71,71.0,0.0,2526.1505634787304,49.05146725201418,27182.333333333336,27035.2044070936,54069,1,27477,27477.0,0.0,27477,27477,1,1.0,0.0,1,1,0,0,0,0,0,0,16,16,24.52573362600709,24.52573362600709,32,71,51.5,22.516660498395403,507.0,0,0,0,0,0,0,0,0,1.0,51.5,32.0,71.0,0,0,0,0,0,0,0,16,0,35,0,0,1,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00017,Benign,0,768180,172.31.64.69-166.78.139.188-50531-443-6,172.31.64.69,50531,166.78.139.188,443,6,2018-03-02 14:20:32.477022,38033,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,52.58591223411248,38033.0,0.0,38033,38033,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,32,20,26.29295611705624,26.29295611705624,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,8192,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,38033,BENIGN,-1
AL-00018,Benign,0,520271,172.31.66.89-209.85.203.95-50198-443-6,172.31.66.89,50198,209.85.203.95,443,6,2018-02-14 14:57:46.987853,95868,4,2,77,0,46,0,19.25,23.05609102457165,0,0,0.0,0.0,803.1877164434432,62.5860558267618,19173.6,41795.75246720652,93926,1,95868,31956.0,53701.73270947596,93956,20,1,1.0,0.0,1,1,2,0,0,0,0,0,80,40,41.7240372178412,20.8620186089206,0,46,12.833333333333334,20.439341150503523,417.7666666666667,2,0,0,2,6,0,0,0,0.5,12.833333333333334,19.25,0.0,0,0,0,0,0,0,0,12,0,0,258,180,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,171161284,BENIGN,-1
AL-00019,Benign,0,2624389,172.31.65.87-169.254.169.254-49870-80-6,172.31.65.87,49870,169.254.169.254,80,6,2018-02-16 17:30:37.686356,837,5,5,161,488,161,0,32.2,72.00138887549322,488,0,97.6,218.24023460397947,775388.2915173238,11947.431302270012,93.0,70.25133450689745,214,9,729,182.25,115.02572176112032,312,72,623,155.75,105.33241033350878,260,10,1,1,0,0,0,0,112,112,5973.715651135006,5973.715651135006,0,488,64.9,157.036761442805,24660.54444444444,2,2,0,2,9,0,1,2,1.0,64.9,32.2,97.6,0,0,0,0,0,0,0,16,0,48,8192,149,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,837,BENIGN,-1
AL-00020,Benign,0,610746,172.31.67.32-172.31.0.2-57391-53-17,172.31.67.32,57391,172.31.0.2,53,17,2018-02-22 19:05:59.118087,1314,1,1,41,69,41,41,41.0,0.0,69,69,69.0,0.0,83713.85083713851,1522.0700152207,1314.0,0.0,1314,1314,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,761.03500761035,761.03500761035,41,69,55.0,19.79898987322333,392.0,0,0,0,0,0,0,0,0,1.0,55.0,41.0,69.0,0,0,0,0,0,0,0,20,0,34,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00021,Benign,0,4590057,172.31.65.20-54.164.37.74-50607-443-6,172.31.65.20,50607,54.164.37.74,443,6,2018-02-20 17:59:32.734102,60695554,16,16,819,5493,456,0,51.18750000000001,125.23482942057296,1460,0,343.3125000000001,581.666997373354,103.9944375497421,0.5272214831419119,1957921.0967741932,3996830.884335299,10019567,1,60695554,4046370.266666667,5026012.446431245,10031058,697,60684051,4045603.4,5049027.664781278,10031058,1,3,5,0,0,0,0,332,324,0.2636107415709559,0.2636107415709559,0,1460,197.25,439.6846377179459,193322.58064516136,2,2,0,8,31,0,0,0,1.0,197.25,51.1875,343.3125,0,0,0,5226,4,3735525,0,25,0,171,8192,31088,9,20,72468.33333333333,149246.27815214242,377116,11491,9982401.5,60642.07135232101,10019567,9859280,-1,-1,60695554,BENIGN,-1
AL-00022,Benign,0,4195701,172.31.64.63-209.85.203.139-49625-443-6,172.31.64.63,49625,209.85.203.139,443,6,2018-02-22 12:47:47.078558,94853,4,2,77,0,46,0,19.25,23.05609102457165,0,0,0.0,0.0,811.782442305462,63.25577472510094,18970.6,42255.84357577068,94560,1,94853,31617.666666666668,54548.710061130994,94605,31,1,1.0,0.0,1,1,2,0,0,0,0,0,80,40,42.17051648340063,21.085258241700316,0,46,12.833333333333334,20.439341150503523,417.7666666666667,2,0,0,2,6,0,0,0,0.5,12.833333333333334,19.25,0.0,0,0,0,0,0,0,0,12,0,0,258,180,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,170948589,BENIGN,-1
AL-00023,Benign,0,4091369,213.202.230.222-172.31.65.69-50186-3389-6,213.202.230.222,50186,172.31.65.69,3389,6,2018-03-01 17:48:06.502290,90107111,14,10,1455,1731,741,0,103.92857142857144,195.03627445080147,1179,0,173.10000000000002,369.04093419444825,35.35791975396925,0.2663496779960019,3917700.47826087,17925648.253766738,86140747,3,3966349,305103.7692307692,335674.4519714883,1218733,3,90107070,10011896.666666666,28550208.207394067,86140747,107094,7,5,0,0,0,1,292,212,0.1553706454976677,0.1109790324983341,0,1179,132.75,275.6920541032188,76006.10869565215,1,2,1,12,23,0,1,2,0.7142857142857143,132.75,103.92857142857144,173.1,0,0,0,0,0,0,0,60,0,72,8192,0,7,20,3966364.0,0.0,3966364,3966364,86140747.0,0.0,86140747,86140747,-1,-1,90107111,BENIGN,-1
AL-00024,Botnet,0,3791692,172.31.69.29-18.219.211.138-49310-8080-6,172.31.69.29,49310,18.219.211.138,8080,6,2018-03-02 19:41:25.562749,10689,5,5,326,129,326,0,65.2,145.79163213298628,112,0,25.8,48.74628190949541,42567.12508185986,935.5412105903264,1187.6666666666667,2930.2316887918605,8982,1,10382,2595.5,4462.84793228121,9281,49,10135,2533.75,4311.42678433331,8982,1,1,2,0,0,0,0,112,112,467.7706052951633,467.7706052951633,0,326,45.5,104.5660344258859,10934.055555555557,2,2,0,3,9,0,1,1,1.0,45.5,65.2,25.8,0,0,0,0,0,0,0,32,0,12,8192,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,10689,Botnet Ares,-1
AL-00025,DoS,0,5985671,18.219.193.20-172.31.69.25-52086-80-6,18.219.193.20,52086,172.31.69.25,80,6,2018-02-16 17:48:23.795196,221176,6,5,348,935,348,0,57.99999999999999,142.07040508142433,935,0,187.0,418.1447117924607,5800.810214489818,49.734148370528445,22117.6,23441.53818995484,67519,4,221172,44234.4,21625.82237280238,67519,12397,221169,55292.25,50213.3246086136,112050,33,1,1,0,0,0,0,200,168,27.127717293015515,22.60643107751293,0,935,116.63636363636364,290.8065586355551,84568.45454545454,2,2,0,2,10,0,0,0,0.8333333333333334,116.63636363636364,58.0,187.0,0,0,0,0,0,0,0,31,0,85,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,221176,DoS Hulk,-1
AL-00026,Benign,0,2356629,172.31.65.43-67.227.156.183-50538-443-6,172.31.65.43,50538,67.227.156.183,443,6,2018-03-01 13:49:33.010205,5382468,9,8,349,3226,192,0,38.77777777777778,70.85862293641081,1460,0,403.25,658.8250905968897,664.1934517771401,3.158402428031156,336404.25,1306429.8693239526,5235161,0,5382468,672808.5,1843637.0990462613,5235161,11,5365839,766548.4285714286,2005359.6224465456,5314205,0,3,3,0,0,1,0,192,172,1.6720954030753177,1.486307024955838,0,1460,210.2941176470588,477.0441233138034,227571.0955882353,2,2,1,6,16,0,1,1,0.8888888888888888,210.2941176470588,38.77777777777778,403.25,0,0,0,0,0,0,0,20,0,189,8192,237,3,20,130400.0,0.0,130400,130400,5235161.0,0.0,5235161,5235161,-1,-1,5382468,BENIGN,-1
AL-00027,Benign,0,5630702,172.31.65.29-172.31.0.2-51934-53-17,172.31.65.29,51934,172.31.0.2,53,17,2018-02-23 17:30:11.973410,60233,1,1,30,132,30,30,30.0,0.0,132,132,132.0,0.0,2689.5555592449323,33.2043896203078,60233.0,0.0,60233,60233,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,16.6021948101539,16.6021948101539,30,132,81.0,72.12489168102785,5202.0,0,0,0,0,0,0,0,0,1.0,81.0,30.0,132.0,0,0,0,0,0,0,0,15,0,66,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00028,Brute Force,1,5537809,13.59.126.31-172.31.69.25-44358-21-6,13.59.126.31,44358,172.31.69.25,21,6,2018-02-16 14:42:20.772683,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,40,20,333333.3333333333,333333.3333333333,0,0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,3,FTP-BruteForce - Attempted,1
AL-00029,Benign,0,1919278,193.111.198.66-172.31.64.81-18144-3389-6,193.111.198.66,18144,172.31.64.81,3389,6,2018-03-01 13:20:00.950931,90190364,14,10,1398,2276,688,0,99.85714285714285,191.0090038726959,1884,0,227.6,588.7880584537851,40.73605912046214,0.2661038157025289,3921320.173913044,17914876.62088286,86092758,18,4097580,315198.4615384616,364144.9939286125,1158681,33287,90190312,10021145.777777778,28529142.920191124,86092758,33295,7,5,0,0,0,1,292,212,0.1552272258264752,0.1108765898760537,0,1884,153.08333333333334,400.5175908492786,160414.34057971014,1,2,1,12,23,0,1,2,0.7142857142857143,153.08333333333334,99.85714285714286,227.6,0,0,0,0,0,0,0,58,0,94,8192,0,7,20,4097606.0,0.0,4097606,4097606,86092758.0,0.0,86092758,86092758,-1,-1,90190364,BENIGN,-1
AL-00030,DDoS,0,5975308,18.218.55.126-172.31.69.28-64333-80-6,18.218.55.126,64333,172.31.69.28,80,6,2018-02-21 18:15:18.447922,22647,5,5,316,935,316,0,63.2,141.3194961779867,935,0,187.0,418.1447117924607,55239.10451715459,441.55958846646354,2516.333333333333,4994.557537960695,14267,3,22644,5661.0,6551.018088816424,14267,255,22637,5659.25,6833.521121403421,14520,23,1,1,0,0,0,0,112,112,220.77979423323177,220.77979423323177,0,935,125.1,301.400600898907,90842.32222222222,2,2,0,2,9,0,1,1,1.0,125.1,63.2,187.0,0,0,0,0,0,0,0,31,0,93,65535,219,1,20,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,22647,DDoS-HOIC,-1
AL-00031,Benign,0,696893,172.31.64.49-172.31.0.2-56305-53-17,172.31.64.49,56305,172.31.0.2,53,17,2018-02-14 19:03:03.352469,1117,1,1,45,105,45,45,45.0,0.0,105,105,105.0,0.0,134288.2721575649,1790.510295434199,1117.0,0.0,1117,1117,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,895.2551477170995,895.2551477170995,45,105,75.0,42.42640687119285,1800.0,0,0,0,0,0,0,0,0,1.0,75.0,45.0,105.0,0,0,0,0,0,0,0,22,0,52,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00032,Benign,0,4732519,172.31.69.5-172.31.0.2-64823-53-17,172.31.69.5,64823,172.31.0.2,53,17,2018-02-22 17:54:12.271433,2459,1,1,35,83,35,35,35.0,0.0,83,83,83.0,0.0,47986.98657991054,813.3387555917041,2459.0,0.0,2459,2459,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,8,8,406.669377795852,406.669377795852,35,83,59.0,33.94112549695428,1152.0,0,0,0,0,0,0,0,0,1.0,59.0,35.0,83.0,0,0,0,0,0,0,0,17,0,41,0,0,0,8,0.0,0.0,0,0,0.0,0.0,0,0,-1,-1,0,BENIGN,-1
AL-00033,Benign,0,390320,213.202.230.221-172.31.65.52-49944-3389-6,213.202.230.221,49944,172.31.65.52,3389,6,2018-02-22 19:16:12.008499,90089945,13,10,1430,1727,725,0,110.0,196.4989397766139,1175,0,172.69999999999996,367.8296858299745,35.04275643635924,0.2553004111613122,4094997.5,18313158.25505732,86079666,25,4010254,334187.8333333334,351848.8489559204,1290737,43560,90089895,10009988.333333334,28528100.982891925,86079666,77579,7,5,0,0,0,1,272,212,0.1443002323955242,0.1110001787657879,0,1175,137.26086956521738,278.2453491224972,77420.47430830037,1,2,1,12,22,0,1,2,0.7692307692307693,137.2608695652174,110.0,172.7,0,0,0,0,0,0,0,62,0,75,8192,0,7,20,4010279.0,0.0,4010279,4010279,86079666.0,0.0,86079666,86079666,-1,-1,90089945,BENIGN,-1
